Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades
97.35,1280.32,18.290286,1.837818,2.673795,8.677374,7.8602,70
96.63,1113.69,18.876102,1.871561,3.245869,9.04857,5.8567,59
93.02,1096.28,20.684528,2.573171,3.971597,7.711801,5.1352,53
91.42,652.38,12.309057,1.824149,2.996142,9.414429,3.9107,53
82.35,694.02,12.852222,1.865146,1.656451,5.870459,7.5717,54
80.61,501.4,8.087097,1.728028,1.362722,4.142591,6.7073,62
79.78,1216.29,12.539072,1.417645,1.999359,5.886448,10.9526,97
76.99,1442.48,17.59122,1.525214,1.63591,4.494846,14.7434,82
76.17,697.14,15.155217,1.979432,2.941519,9.749853,4.3899,46
76.16,764.12,9.318537,1.496992,1.527293,4.102204,9.1559,82
75.65,446,6.656716,1.53325,1.387679,6.826681,6.1351,67
72.58,19549.73,320.487377,2.687339,1.990224,6.468177,40.6187,61
71.55,450.81,7.640847,1.46048,1.399423,3.512003,6.1543,59
71.22,773.26,14.589811,1.56048,1.364641,6.622261,10.06,53
70.49,3426.56,68.5312,2.165374,2.108834,7.409874,22.7881,50
70.11,724.63,14.208431,1.62278,1.289469,5.021973,10.2548,51
69.96,859.81,17.912708,1.809736,1.487046,6.077578,10.2357,48
69.01,874.7,8.747,1.373401,1.354801,4.666137,11.6897,100
67.25,492.23,6.651757,1.378161,1.123274,5.640912,8.1558,74
66.67,704.66,9.395467,1.449297,1.61935,7.6391,7.7133,75
66.24,341.44,5.787119,1.426347,0.784361,3.452442,8.1884,59
66.23,697.5,12.455357,1.432022,1.188934,2.744238,11.1346,56
65.75,599.96,13.332444,1.83729,1.830709,6.370811,6.1999,45
65.63,854.55,11.394,1.441792,1.577883,7.524728,9.3721,75
65.62,305.19,5.172712,1.382789,0.988022,3.574824,5.8249,59
65.32,404.96,6.638689,1.349323,1.055793,3.370301,7.1237,61
65.1,520.75,6.943333,1.430824,1.556243,7.334815,6.1034,75
64.72,365.47,6.194407,1.385582,0.741243,3.754544,9.1552,59
64.48,2381.95,38.418548,1.523099,1.63834,5.252156,22.0499,62
64.44,920.39,9.2039,1.29704,1.222476,4.421962,13.7827,100
64.02,1202.26,27.959535,2.194852,2.820022,7.047509,7.6502,43
63.81,1033.13,22.958444,1.80512,1.715422,5.242275,11.1451,45
63.21,373.73,5.339,1.304214,0.636407,3.519383,11.0395,70
63.1,348.02,4.461795,1.303227,0.667587,2.832925,9.9469,78
61.78,447.57,5.812597,1.241748,0.742633,2.791454,11.0044,77
61.36,385.18,5.349722,1.220341,0.897186,2.522078,7.6895,72
61.17,372.16,5.638788,1.236156,0.735189,2.562457,9.2401,66
61.13,184.55,2.839231,1.212635,0.508711,2.858574,7.007,65
60.96,589.52,8.187778,1.221613,0.878753,2.559017,11.3423,72
60.78,200.38,3.780755,1.363765,0.533536,5.033834,7.04,53
60.47,520.97,5.107549,1.237203,1.020549,2.119755,9.1409,102
60.28,178.7,2.792188,1.254577,0.756082,2.309283,4.5862,64
60.2,634.79,9.474478,1.463486,1.270953,9.988935,9.265,67
60.18,655.66,11.112881,1.384845,0.682965,3.143962,16.9498,59
60.18,271.67,3.995147,1.204084,0.659826,2.394214,7.6146,68
60.07,464.69,4.555784,1.200563,0.784022,2.329793,10.4791,102
59.93,306.14,4.373429,1.229263,0.774842,2.198491,7.5434,70
59.86,244.11,3.937258,1.239836,0.656792,3.572315,7.0008,62
59.75,230.33,3.903898,1.288779,0.725335,2.199387,5.9141,59
59.58,203.67,4.0734,1.421738,1.252583,5.699318,3.1619,50
59.37,117.07,1.747313,1.145355,0.258051,2.490067,8.5464,67
59.24,301.12,3.041616,1.174155,0.570573,2.274063,9.671,99
59.09,255.6,4.406897,1.230905,0.661799,2.651209,7.5451,58
58.97,160.39,2.765345,1.236299,0.521577,2.347162,5.9469,58
58.94,566.44,5.962526,1.207253,0.926267,2.06411,10.9091,95
58.84,341.19,5.882586,1.259984,0.492921,2.484455,12.8845,58
58.76,575.36,4.60288,1.216015,0.811406,2.147283,12.7084,125
58.55,212.3,4.00566,1.255981,0.725614,4.738188,5.4767,53
58.05,885.25,10.665663,1.275285,0.875471,2.357348,16.5961,83
58,293.05,5.426852,1.275552,0.672272,2.608138,7.9816,54
57.98,291.68,5.028966,1.214208,0.52925,2.271385,10.3012,58
57.46,590.14,9.835667,1.185361,0.67303,2.404371,14.4246,60
57.42,1949.58,38.9916,1.499449,1.473661,10.14252,20.2875,50
57.39,203.77,3.396167,1.139048,0.429813,2.209499,8.5664,60
57.38,205.65,3.954808,1.21461,0.852789,3.090126,4.5479,52
57.33,887,8.782178,1.290245,0.83259,3.232256,18.107,101
57.2,453.86,3.63088,1.23361,0.743618,3.291244,11.1531,125
57.06,161.65,3.367708,1.411648,1.081126,8.55356,2.9087,48
56.93,444.33,9.256875,1.456885,0.730001,7.184969,10.8552,48
56.88,367.41,4.8988,1.218938,0.494429,2.020764,13.4024,75
56.46,742.9,7.82,1.198795,0.875452,1.988776,14.6,95
56.27,555.13,7.026962,1.241091,0.56785,2.50603,17.3238,79
56.19,448.69,9.156939,1.377142,0.754456,3.056713,10.5754,49
55.71,438.92,5.418765,1.219494,0.481758,2.171479,16.2672,81
55.44,255.83,4.12629,1.162261,0.367424,1.991971,12.9214,62
55.1,838.64,8.221961,1.326272,1.051402,5.919898,13.2702,102
55.01,397.16,4.843415,1.175379,0.498037,3.051985,14.5388,82
54.78,222.69,3.181286,1.20782,0.708054,1.694789,5.8398,70
54.18,276.11,2.733762,1.146667,0.484608,1.752389,10.3377,101
53.6,318.56,6.010566,1.219935,0.344322,2.811535,16.4945,53
53.16,195.84,1.93901,1.126262,0.504742,1.668359,7.2155,101
53.1,7060.68,164.20186,2.009645,2.225729,4.596453,22.0222,43
52.95,568.55,13.867073,2.011169,2.254272,6.568227,4.8908,41
52.95,229.78,4.888936,1.390384,0.721626,2.862733,6.1272,47
52.77,710.52,14.2104,1.227218,0.802086,3.473516,15.5956,50
52.03,181.33,3.777708,1.353098,0.560872,6.433065,6.0984,48
52.01,202.88,3.438644,1.150247,0.333673,1.685001,11.3339,59
51.86,367.08,6.328966,1.180683,0.661084,1.633549,10.9125,58
51.7,142.89,2.976875,1.280501,0.414162,2.608505,6.6565,48
51.29,596.78,12.179184,1.318743,0.617063,2.66352,16.2869,49
51.17,156.3,3.189796,1.53055,1.353833,16.149129,2.2107,49
50.88,752.92,16.019574,1.373706,0.85252,3.166164,15.4066,47
50.59,720.07,15.653696,1.39036,0.922398,4.214044,13.4419,46
50.09,207.39,2.206277,1.157909,0.621003,1.381284,6.19,94
49.85,409.18,7.054828,1.420085,0.703385,12.846051,10.1473,58
49.85,397.78,8.839556,1.326252,1.391326,3.108364,5.6432,45
49.49,91.22,1.47129,1.06887,0.161606,1.570835,10.637,62
48.07,570.27,13.577857,1.655054,1.39971,5.839176,7.6088,42
47.92,42.6,0.608571,1.060699,0.247301,1.363337,3.3969,70
47.77,320.79,7.128667,1.357048,0.739625,3.638472,8.2836,45
47.25,2315.86,31.72411,1.415783,0.702843,3.430603,44.6476,73
46.74,4001.38,67.82,1.443041,0.865087,2.569508,51.0967,59
46.6,183.4,3.162069,1.259168,0.573753,5.149544,6.0638,58
46.49,1059.76,10.092952,1.240529,0.729395,2.664091,23.1263,105
46.49,88.8,0.954839,1.110092,0.345727,2.015641,4.9901,93
46.28,115.75,2.225962,1.107986,0.305853,1.479157,7.1273,52
46.23,233.96,3.295211,1.102687,0.474554,1.128983,8.8216,71
46.16,1569.16,15.6916,1.283112,1.005298,4.008074,25.9566,100
46.01,349.2,4.060465,1.113057,0.395595,1.330266,15.4847,86
45.8,242.41,3.275811,1.097628,0.277309,1.34656,15.7168,74
45.74,213.76,2.429091,1.194773,0.473402,4.80041,8.5304,88
45.7,160.53,1.934096,1.114791,0.423339,1.0611,7.4045,83
45.33,200.88,4.464,1.22666,0.546523,3.033312,6.8146,45
45.12,184.32,2.071011,1.080437,0.290707,1.192571,11.3379,89
45,95.8,1.570492,1.179502,0.570238,3.195723,3.1922,61
44.78,572.78,13.320465,1.489903,0.789856,4.095853,12.9003,43
44.74,143.15,3.181111,1.220849,0.336903,3.456867,8.0213,45
44.55,1048.68,10.281176,1.239375,0.68182,2.479064,24.2688,102
44.37,71.15,0.837059,1.092679,0.257603,1.410801,5.3327,85
44.35,207.42,3.576207,1.101498,0.285008,1.158745,12.9743,58
44.27,151.02,2.603793,1.170204,0.484209,3.231828,5.8106,58
43.94,677.94,17.383077,2.03365,2.426153,6.600002,5.4047,39
43.82,57.43,1.025536,1.083176,0.120959,1.736188,8.9167,56
43.6,140.38,2.005429,1.109865,0.306694,2.071924,8.4737,70
43.53,64.25,1.212264,1.079868,0.157785,1.194119,7.8658,53
